id
Karavet/ILUR-news-text-classification-corpus
armvectores/hy_parallel_rnc_2023
Karavet/pioNER-Armenian-Named-Entity
Yeva/arm-summary
Karavet/ARPA-Armenian-Paraphrase-Corpus
armvectores/hy_wikipedia_2023
armvectores/hy_wikisource_2023
